x,y,arg
5.090451,-0.9765686,0
4.5450954,-1.3896636,0
4.5205216,-0.8127455,0
4.0297823,-0.992716,0
2.7964747,-0.5396741,0
2.1685178,-2.517746,1
1.8593738,-4.0729623,2
2.5646083,3.3484974,0
3.079297,-0.9752249,0
3.4352655,-1.640822,2
5.429704,3.4278054,2
2.1688871,-1.982434,2
3.1004736,3.0163476,0
7.6010785,-1.4735452,1
8.324044,-4.0947404,1
1.4465802,-4.9820113,2
4.5914354,3.8886178,2
7.0194426,-1.5185568,1
8.520388,-4.3613267,1
1.8591545,-5.687748,1
7.852625,-2.6270978,1
7.6857405,-4.2923613,2
5.6583757,3.9828932,1
7.7802815,-1.7836229,1
8.1666155,-3.6844716,1
1.9288785,-4.8731422,2
5.112509,3.774261,2
2.3246522,-1.4226654,2
2.2950006,2.2276597,0
7.300706,-2.1439755,1
8.665175,-3.7340667,1
2.0932856,-5.4468513,2
4.740478,3.524648,2
2.7670734,-1.7502546,2
2.278993,2.7865663,0
2.8447843,-1.3460791,2
2.5834491,2.6027167,0
